id;codigo Otto;nivel Otto;nome da bacia hidrografica;nome do curso principal;principais afluentes;sub-bacias hidrograficas;suprabacia(s);ordem de Horton-Strahler;ordem de Gravelius;area total;area territorial;comprimento curso principal;numero de cursos d'agua;soma dos comprimentos do cursos d'agua;comprimento medio dos cursos d'agua;densidade hidrografica;densidade de drenagem;coeficiente de manutencao;distancia da foz ao oceano;distancia da nascente ao oceano;classe de tamanho da bacia;populacao em 2010;numero de municipios;disponibilidade hidrica;populacao_c;demanda total;demanda humana urbana;demanda humana rural;demanda da industria de transformacao;demanda da mineracao;demanda das termoeletricas;demanda animal;demanda da irrigacao
29;6672;4;Bacia do Rio Pau-d'Arco;Rio Pau-d'Arco;Corrego Ribeirao Pau-d'Arquinho, Rio Salobro, Ribeirao Azulona, Rio Arraias do Araguaia;Bacia do Rio Salobro, Bacia do Ribeirao Azulona, Bacia do Rio Arraias do Araguaia, Bacia do Corrego Ribeirao Pau-d'Arquinho;Bacia Tocantins-Araguaia;7;2;13454,3048;13454,305;236,1136737;1067;3191,233947;2,990847186;0,079305473;0,237190549;4216,019579;1098,608578;1334,722252;Media;93759;8;15,135;93759;0,827755;0,161779;0,0234442;0,0267682;0,000454944;0;0,503456;0,111852
30;6676;4;Bacia do Rio Formoso;Rio Formoso;Rio Pium, Rio Duere, Rio Javaes, Rio Riozinho;Bacia do Rio Duere, Bacia do Rio Pium, Bacia do Rio Javaes, Bacia do Rio Riozinho (TO);Bacia Tocantins-Araguaia;7;2;54531,55795;54531,558;726,6770332;1254;7420,335913;5,917333264;0,022995859;0,136074159;7348,933874;1405,541885;2132,218918;Media;85963;25;7,031;85963;18,2601;0,14354;0,0287697;0,0133853;0,00336306;0;1,1794;16,8916
31;6456;4;Bacia do Rio Jatapu;Rio Jatapu;Rio Carara ou Cidade Velha, Rio Jatapuzinho, Rio Uatuma, Rio Aneba;Bacia do Rio Uatuma, Bacia do Rio Jatapuzinho, Bacia do Rio Aneba, Bacia do Rio Carara ou Cidade Velha;Bacia do Rio Amazonas;8;2;72523,7802;72519,694;938,5051757;6232;18879,28413;3,029410162;0,085930435;0,260318534;3841,447574;1082,22456;2020,729736;Media;67354;13;725,624;67354;0,339169;0,189693;0,0502286;0,0183499;0,0215623;0;0,0488506;0,010484
32;6744;4;Bacia do Rio Piaui;Rio Piaui;Rio Caninde, Rio Fidalgo, Riacho Fundo, Riacho Gameleira;Bacia do Rio Fidalgo, Bacia do Riacho Fundo, Bacia do Riacho Gameleira, Bacia do Rio Caninde;Bacia do Rio Parnaiba;7;2;74981,0807;74981,081;636,7385618;1201;7329,969284;6,103221718;0,016017374;0,097757584;10229,38539;585,5281903;1222,266752;Media;647649;113;3,274;647649;3,31386;0,770694;0,275414;0,0290658;0,00153122;0;0,47545;1,7617
33;6764;4;Bacia do Rio Corrente;Rio Corrente;Rio Formoso, Rio Arrojado, Rio Correntina, Rio do Meio;Bacia do Rio do Meio (BA), Bacia do Rio Correntina, Bacia do Rio Arrojado, Bacia do Rio Formoso;Bacia do Rio Sao Francisco;6;2;34532,61741;34532,617;388,6404606;480;2772,78519;5,776635812;0,013899902;0,080294672;12454,12646;1435,784912;1824,425373;Media;143780;21;82,353;143780;17,7699;0,20989;0,0919947;0,00355559;0,000567627;0;0,355027;17,1089
34;6426;4;Bacia Manissaua-Micu-Tartaruga;Rio Manissaua-Micu e Rio Tarta;Rio Pele, Rio Arraias, Rio Azul, Rio Itrio Barbosa;Bacia do Rio Itrio Barbosa, Bacia do Rio Azul, Bacia do Rio Arraias (MT), Bacia do Rio Pele;Bacia do Rio Amazonas e Bacia do Rio Xingu;6;3;27996,37686;27996,377;658,1064881;712;3462,470556;4,863020444;0,025431862;0,123675666;8085,664962;1953,711592;2611,81808;Media;42206;11;151,182;42206;0,96814;0,0975002;0,0173393;0,00733008;0,000025441;0;0,17357;0,672375
35;6796;4;Bacia do Rio Jacui;Rio Jacui;Rio Vacacai, Rio Cai, Rio Taquari e Rio Antas, Rio Pardo;Bacia Taquari-Antas, Bacia do Rio Pardo (RS), Bacia do Rio Cai, Bacia do Rio Vacacai;Nome nao identificado;7;1;82480,02193;82480,022;730,2459079;2561;12970,3699;5,064572394;0,031049943;0,157254685;6359,111001;0;730,2459079;Media;5790923;255;12,063;5790923;98,0799;14,1262;0,974405;6,65895;0,880306;3,67106;3,51717;68,2518
36;6732;4;Bacia do Rio Itapecuru;Rio Itapecuru;Rio Peritoro, Rio Balseiro, Rio Alpercatas, Rio Codozinho;Bacia do Rio Balseiro, Bacia do Rio Codozinho, Bacia do Rio Alpercatas, Bacia do Rio Peritoro (MA);Nome nao identificado;6;1;53095,22829;53095,228;965,285678;657;5085,483278;7,740461611;0,012373993;0,09578042;10440,54722;0;965,285678;Media;967762;63;43,905;967762;4,01134;2,08111;0,422436;0,214666;0,00924544;0,0862861;0,684705;0,512887
37;6674;4;Bacia do Rio Inaja;Rio Inaja;Ribeirao Periquito, Rio Inajazinho, Rio Preto;Bacia do Rio Inajazinho, Bacia do Ribeirao Periquito, Bacia do Rio Preto (PA) 2;Bacia Tocantins-Araguaia;6;2;8417,142014;8417,142;253,4734417;469;1696,399948;3,617057458;0,055719625;0,201541087;4961,767432;1289,053478;1542,526919;Pequena;13910;4;9,367;13910;0,359004;0,0172572;0,0116026;0,000225999;0,0000186;0;0,319794;0,0101057
38;6696;4;Bacia do Rio Caiapo;Rio Caiapo;Rio Bonito, Ribeirao Santo Antonio, Ribeirao Boa Vista, Rio Piranhas;Bacia do Ribeirao Santo Antonio, Bacia do Ribeirao Boa Vista, Bacia do Rio Piranhas (GO), Bacia do Rio Bonito;Bacia Tocantins-Araguaia;6;2;12073,05319;12073,053;331,9264496;385;1967,182964;5,109566139;0,031889199;0,162939973;6137,229437;2334,261939;2666,188388;Media;72433;15;32,005;72433;0,942124;0,124959;0,00911907;0,0146993;0,000331663;0;0,630735;0,162281
39;6688;4;Bacia do Rio Cumbuco;Rio Cumbuco;Corrego Corrente, Rio Suspiro, Corrego Fundo;Bacia do Corrego Fundo, Bacia do Corrego Corrente, Bacia do Rio Suspiro;Bacia Tocantins-Araguaia e Bacia do Rio das Mortes;4;3;3201,961242;3201,961;125,6368526;24;196,451611;8,185483791;0,007495406;0,061353526;16298,98185;2542,468336;2668,105189;Pequena;782;5;25,761;782;1,55402;0;0,00148791;0;0;0;0,0272293;1,5253
40;6478;4;Bacia do Rio Preto da Eva;Rio Preto da Eva;Igarape Tapaiuna, Igarape agua Branca, Lago Aruma, Igarape Sucuriju;Bacia do Igarape agua Branca, Bacia do Igarape Tapaiuna, Bacia do Lago Aruma, Bacia do Igarape Sucuriju;Bacia do Rio Amazonas;5;2;3261,897923;3261,898;168,2673534;252;760,9218867;3,019531296;0,077255636;0,233275812;4286,77106;1374,303465;1542,570818;Pequena;29311;3;26,215;29311;0,084156;0,0509167;0,0112386;0,00110719;9,85E-05;0;0,0107054;0,0100898
41;6388;4;Bacia do Rio Murure;Rio Murure;Nome nao identificado;Nome nao identificado;Bacia do Rio Araguari;5;2;2281,44364;2281,444;134,1250094;100;428,8734026;4,288734026;0,043831896;0,187983343;5319,620255;455,9593296;590,084339;Pequena;0;2;3,093;0;0,00051243;0;0,000512367;0;0;0;0;0
42;6726;4;Bacia do Rio das Flores;Rio das Flores;Brejo da Reparticao, Riacho Refrigerio, Rio Preguica;Bacia do Riacho Refrigerio, Bacia do Rio Preguica, Bacia do Brejo da Reparticao;Bacia do Rio Mearim;5;2;5957,239532;5957,24;190,8379228;48;559,0028381;11,64589246;0,008057423;0,093835884;10656,90391;503,3309926;694,1689154;Pequena;100103;14;0,987;100103;0,571954;0,249544;0,060865;0,0110284;0,0000534;0;0,161373;0,0890903
44;6512;4;Bacia de nome nao identificado;Nome nao identificado;Nome nao identificado;Nome nao identificado;Nome nao identificado;2;1;170,4480863;170,448;31,0069626;2;36,55731731;18,27865866;0,011733778;0,214477722;4662,488905;0;31,0069626;Pequena;238;1;;238;;;;;;;;
45;6668;4;Bacia do Rio Maranhao;Rio Maranhao;Rio Verde, Rio dos Patos, Rio Arraial Velho, Rio do Sal;Bacia do Rio Verde (GO), Bacia do Rio dos Patos (GO), Bacia do Rio Arraial Velho, Bacia do Rio do Sal;Bacia Tocantins-Araguaia e Bacia do Rio Tocantins;6;3;15545,78137;15545,781;435,4936982;265;2196,285899;8,287871318;0,017046425;0,141278579;7078,213894;2226,714586;2662,208284;Media;225909;14;156,991;225909;4,76183;0,459236;0,0511315;0,504898;0,0294854;0;0,423087;3,29399
46;6638;4;Bacia do Rio Atua;Rio Atua;Igarape Jacareguara, Rio Anabiju, Rio Parita, Rio Taua;Bacia do Rio Anabiju, Bacia do Rio Parita, Bacia do Rio Taua, Bacia do Igarape Jacareguara;Bacia Tocantins-Araguaia;4;2;2129,057637;2129,058;108,1256251;50;262,2444944;5,244889888;0,023484569;0,123173976;8118,598034;146,3197805;254,4454056;Pequena;2364;3;6,745;2364;0,0253021;0;0,0118452;0;0;0;0,0119525;0,00150422
